Umsatzanzeige;Kontokorrent Mueller Praezisionstechnik GmbH (fiktiv)
Zeitraum;01.01.2025 - 31.12.2025

Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Begünstigter/Zahlungspflichtiger;Betrag;Saldo;Währung
13.11.2025;13.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.657,82;-474.081,93;EUR
13.11.2025;13.11.2025;Gutschrift;Zahlung Kunde RE-72057;Kunde Gmbh;17.632,81;-452.424,11;EUR
12.11.2025;12.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-44.169,32;-470.056,92;EUR
12.11.2025;12.11.2025;Gutschrift;Zahlung Kunde RE-66681;Kunde Gmbh;39.660,24;-425.887,60;EUR
11.11.2025;11.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.869,94;-465.547,84;EUR
11.11.2025;11.11.2025;Gutschrift;Zahlung Kunde RE-50461;Kunde Gmbh;26.403,89;-437.677,90;EUR
10.11.2025;10.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-46.432,43;-464.081,79;EUR
10.11.2025;10.11.2025;Gutschrift;Zahlung Kunde RE-37184;Kunde Gmbh;31.833,87;-417.649,36;EUR
07.11.2025;07.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.292,80;-449.483,23;EUR
07.11.2025;07.11.2025;Gutschrift;Zahlung Kunde RE-26214;Kunde Gmbh;25.544,01;-427.190,43;EUR
06.11.2025;06.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.127,57;-452.734,44;EUR
06.11.2025;06.11.2025;Gutschrift;Zahlung Kunde RE-20585;Kunde Gmbh;17.347,26;-433.606,87;EUR
05.11.2025;05.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.642,03;-450.954,13;EUR
05.11.2025;05.11.2025;Gutschrift;Zahlung Kunde RE-10376;Kunde Gmbh;20.077,83;-421.312,10;EUR
04.11.2025;04.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.729,15;-441.389,93;EUR
04.11.2025;04.11.2025;Gutschrift;Zahlung Kunde RE-67990;Kunde Gmbh;44.549,49;-402.660,78;EUR
03.11.2025;03.11.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.098,87;-447.210,27;EUR
03.11.2025;03.11.2025;Gutschrift;Zahlung Kunde RE-59005;Kunde Gmbh;36.761,32;-402.111,40;EUR
31.10.2025;31.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.348,53;-438.872,72;EUR
31.10.2025;31.10.2025;Gutschrift;Zahlung Kunde RE-97088;Kunde Gmbh;15.956,81;-413.524,19;EUR
30.10.2025;30.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-46.974,36;-429.481,00;EUR
30.10.2025;30.10.2025;Gutschrift;Zahlung Kunde RE-71291;Kunde Gmbh;43.076,45;-382.506,64;EUR
29.10.2025;29.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-17.247,29;-425.583,09;EUR
29.10.2025;29.10.2025;Gutschrift;Zahlung Kunde RE-95520;Kunde Gmbh;20.720,51;-408.335,80;EUR
28.10.2025;28.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-55.161,13;-429.056,31;EUR
28.10.2025;28.10.2025;Gutschrift;Zahlung Kunde RE-53154;Kunde Gmbh;42.947,86;-373.895,18;EUR
27.10.2025;27.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.175,16;-416.843,04;EUR
27.10.2025;27.10.2025;Gutschrift;Zahlung Kunde RE-20402;Kunde Gmbh;36.981,71;-379.667,88;EUR
24.10.2025;24.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-47.359,85;-416.649,59;EUR
24.10.2025;24.10.2025;Gutschrift;Zahlung Kunde RE-51182;Kunde Gmbh;41.945,02;-369.289,74;EUR
23.10.2025;23.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.926,20;-411.234,76;EUR
23.10.2025;23.10.2025;Gutschrift;Zahlung Kunde RE-68935;Kunde Gmbh;20.523,14;-389.308,56;EUR
22.10.2025;22.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.328,09;-409.831,70;EUR
22.10.2025;22.10.2025;Gutschrift;Zahlung Kunde RE-17882;Kunde Gmbh;27.461,55;-374.503,61;EUR
21.10.2025;21.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.816,74;-401.965,16;EUR
21.10.2025;21.10.2025;Gutschrift;Zahlung Kunde RE-28600;Kunde Gmbh;44.223,59;-358.148,42;EUR
20.10.2025;20.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.811,62;-402.372,01;EUR
20.10.2025;20.10.2025;Gutschrift;Zahlung Kunde RE-13097;Kunde Gmbh;16.630,75;-365.560,39;EUR
17.10.2025;17.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-18.214,50;-382.191,14;EUR
17.10.2025;17.10.2025;Gutschrift;Zahlung Kunde RE-61571;Kunde Gmbh;19.391,49;-363.976,64;EUR
16.10.2025;16.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.508,57;-383.368,13;EUR
16.10.2025;16.10.2025;Gutschrift;Zahlung Kunde RE-87961;Kunde Gmbh;16.692,51;-366.859,56;EUR
15.10.2025;15.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-39.100,06;-383.552,07;EUR
15.10.2025;15.10.2025;Gutschrift;Zahlung Kunde RE-97201;Kunde Gmbh;27.510,87;-344.452,01;EUR
14.10.2025;14.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-44.483,66;-371.962,88;EUR
14.10.2025;14.10.2025;Gutschrift;Zahlung Kunde RE-73576;Kunde Gmbh;41.894,29;-327.479,22;EUR
13.10.2025;13.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.056,33;-369.373,51;EUR
13.10.2025;13.10.2025;Gutschrift;Zahlung Kunde RE-34551;Kunde Gmbh;29.872,94;-334.317,18;EUR
10.10.2025;10.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.186,58;-364.190,12;EUR
10.10.2025;10.10.2025;Gutschrift;Zahlung Kunde RE-91736;Kunde Gmbh;18.270,24;-342.003,54;EUR
09.10.2025;09.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.192,04;-360.273,78;EUR
09.10.2025;09.10.2025;Gutschrift;Zahlung Kunde RE-48657;Kunde Gmbh;22.950,66;-335.081,74;EUR
08.10.2025;08.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.977,06;-358.032,40;EUR
08.10.2025;08.10.2025;Gutschrift;Zahlung Kunde RE-39024;Kunde Gmbh;21.924,26;-330.055,34;EUR
07.10.2025;07.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.928,80;-351.979,60;EUR
07.10.2025;07.10.2025;Gutschrift;Zahlung Kunde RE-35419;Kunde Gmbh;37.975,71;-313.050,80;EUR
06.10.2025;06.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-52.302,44;-351.026,51;EUR
06.10.2025;06.10.2025;Gutschrift;Zahlung Kunde RE-50857;Kunde Gmbh;44.095,76;-298.724,07;EUR
03.10.2025;03.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-25.544,45;-342.819,83;EUR
03.10.2025;03.10.2025;Gutschrift;Zahlung Kunde RE-74971;Kunde Gmbh;17.022,97;-317.275,38;EUR
02.10.2025;02.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.168,46;-334.298,35;EUR
02.10.2025;02.10.2025;Gutschrift;Zahlung Kunde RE-76175;Kunde Gmbh;37.173,88;-296.129,89;EUR
01.10.2025;01.10.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.318,32;-333.303,77;EUR
01.10.2025;01.10.2025;Gutschrift;Zahlung Kunde RE-48287;Kunde Gmbh;20.942,39;-311.985,45;EUR
30.09.2025;30.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.903,83;-332.927,84;EUR
30.09.2025;30.09.2025;Gutschrift;Zahlung Kunde RE-61951;Kunde Gmbh;25.869,60;-305.024,01;EUR
29.09.2025;29.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-40.343,79;-330.893,61;EUR
29.09.2025;29.09.2025;Gutschrift;Zahlung Kunde RE-65123;Kunde Gmbh;35.874,68;-290.549,82;EUR
26.09.2025;26.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.905,98;-326.424,50;EUR
26.09.2025;26.09.2025;Gutschrift;Zahlung Kunde RE-14469;Kunde Gmbh;21.803,58;-298.518,52;EUR
25.09.2025;25.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.552,55;-320.322,10;EUR
25.09.2025;25.09.2025;Gutschrift;Zahlung Kunde RE-58525;Kunde Gmbh;27.729,67;-295.769,55;EUR
24.09.2025;24.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-33.038,41;-323.499,22;EUR
24.09.2025;24.09.2025;Gutschrift;Zahlung Kunde RE-97471;Kunde Gmbh;22.717,68;-290.460,81;EUR
23.09.2025;23.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-33.758,93;-313.178,49;EUR
23.09.2025;23.09.2025;Gutschrift;Zahlung Kunde RE-20628;Kunde Gmbh;34.415,05;-279.419,56;EUR
22.09.2025;22.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.523,62;-313.834,61;EUR
22.09.2025;22.09.2025;Gutschrift;Zahlung Kunde RE-98403;Kunde Gmbh;20.823,46;-287.310,99;EUR
19.09.2025;19.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.941,04;-308.134,45;EUR
19.09.2025;19.09.2025;Gutschrift;Zahlung Kunde RE-12855;Kunde Gmbh;24.221,93;-280.193,41;EUR
18.09.2025;18.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-42.388,36;-304.415,34;EUR
18.09.2025;18.09.2025;Gutschrift;Zahlung Kunde RE-95150;Kunde Gmbh;43.818,43;-262.026,98;EUR
17.09.2025;17.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-29.280,61;-305.845,41;EUR
17.09.2025;17.09.2025;Gutschrift;Zahlung Kunde RE-13837;Kunde Gmbh;31.410,07;-276.564,80;EUR
16.09.2025;16.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.157,51;-307.974,87;EUR
16.09.2025;16.09.2025;Gutschrift;Zahlung Kunde RE-40771;Kunde Gmbh;29.259,13;-269.817,36;EUR
15.09.2025;15.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-33.495,73;-299.076,49;EUR
15.09.2025;15.09.2025;Gutschrift;Zahlung Kunde RE-41766;Kunde Gmbh;34.337,27;-265.580,76;EUR
12.09.2025;12.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.231,35;-299.918,03;EUR
12.09.2025;12.09.2025;Gutschrift;Zahlung Kunde RE-51465;Kunde Gmbh;23.358,11;-280.686,68;EUR
11.09.2025;11.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-30.918,89;-304.044,79;EUR
11.09.2025;11.09.2025;Gutschrift;Zahlung Kunde RE-70383;Kunde Gmbh;24.045,64;-273.125,90;EUR
10.09.2025;10.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.834,40;-297.171,54;EUR
10.09.2025;10.09.2025;Gutschrift;Zahlung Kunde RE-80448;Kunde Gmbh;15.034,56;-281.337,14;EUR
09.09.2025;09.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-21.928,96;-296.371,70;EUR
09.09.2025;09.09.2025;Gutschrift;Zahlung Kunde RE-88782;Kunde Gmbh;21.707,49;-274.442,74;EUR
08.09.2025;08.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.628,68;-296.150,23;EUR
08.09.2025;08.09.2025;Gutschrift;Zahlung Kunde RE-44194;Kunde Gmbh;20.751,05;-269.521,55;EUR
05.09.2025;05.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.994,02;-290.272,60;EUR
05.09.2025;05.09.2025;Gutschrift;Zahlung Kunde RE-86400;Kunde Gmbh;30.733,10;-263.278,58;EUR
04.09.2025;04.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.474,86;-294.011,68;EUR
04.09.2025;04.09.2025;Gutschrift;Zahlung Kunde RE-49367;Kunde Gmbh;17.983,34;-277.536,82;EUR
03.09.2025;03.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-26.745,68;-295.520,16;EUR
03.09.2025;03.09.2025;Gutschrift;Zahlung Kunde RE-24697;Kunde Gmbh;28.122,92;-268.774,48;EUR
02.09.2025;02.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.985,55;-296.897,40;EUR
02.09.2025;02.09.2025;Gutschrift;Zahlung Kunde RE-93399;Kunde Gmbh;22.553,82;-267.911,85;EUR
01.09.2025;01.09.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.629,50;-290.465,67;EUR
01.09.2025;01.09.2025;Gutschrift;Zahlung Kunde RE-92113;Kunde Gmbh;43.873,05;-255.836,17;EUR
29.08.2025;29.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.577,84;-299.709,22;EUR
29.08.2025;29.08.2025;Gutschrift;Zahlung Kunde RE-49817;Kunde Gmbh;34.365,17;-262.131,38;EUR
28.08.2025;28.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.998,82;-296.496,55;EUR
28.08.2025;28.08.2025;Gutschrift;Zahlung Kunde RE-14927;Kunde Gmbh;21.977,30;-279.497,73;EUR
27.08.2025;27.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-14.727,86;-301.475,03;EUR
27.08.2025;27.08.2025;Gutschrift;Zahlung Kunde RE-26469;Kunde Gmbh;15.040,98;-286.747,17;EUR
26.08.2025;26.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.000,86;-301.788,15;EUR
26.08.2025;26.08.2025;Gutschrift;Zahlung Kunde RE-15183;Kunde Gmbh;17.550,10;-285.787,29;EUR
25.08.2025;25.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.999,82;-303.337,39;EUR
25.08.2025;25.08.2025;Gutschrift;Zahlung Kunde RE-69942;Kunde Gmbh;40.395,26;-259.337,57;EUR
22.08.2025;22.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-11.516,00;-299.732,83;EUR
22.08.2025;22.08.2025;Gutschrift;Zahlung Kunde RE-94849;Kunde Gmbh;18.266,71;-288.216,83;EUR
21.08.2025;21.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-35.067,40;-306.483,54;EUR
21.08.2025;21.08.2025;Gutschrift;Zahlung Kunde RE-99400;Kunde Gmbh;30.670,97;-271.416,14;EUR
20.08.2025;20.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.124,17;-302.087,11;EUR
20.08.2025;20.08.2025;Gutschrift;Zahlung Kunde RE-29931;Kunde Gmbh;21.714,01;-286.962,94;EUR
19.08.2025;19.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.123,84;-308.676,95;EUR
19.08.2025;19.08.2025;Gutschrift;Zahlung Kunde RE-24292;Kunde Gmbh;22.453,96;-286.553,11;EUR
18.08.2025;18.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.428,28;-309.007,07;EUR
18.08.2025;18.08.2025;Gutschrift;Zahlung Kunde RE-68844;Kunde Gmbh;40.663,88;-280.578,79;EUR
15.08.2025;15.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.726,89;-321.242,67;EUR
15.08.2025;15.08.2025;Gutschrift;Zahlung Kunde RE-79187;Kunde Gmbh;42.907,16;-275.515,78;EUR
14.08.2025;14.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-10.343,88;-318.422,94;EUR
14.08.2025;14.08.2025;Gutschrift;Zahlung Kunde RE-61317;Kunde Gmbh;15.005,36;-308.079,06;EUR
13.08.2025;13.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-45.360,96;-323.084,42;EUR
13.08.2025;13.08.2025;Gutschrift;Zahlung Kunde RE-74202;Kunde Gmbh;44.048,44;-277.723,46;EUR
12.08.2025;12.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-37.707,43;-321.771,90;EUR
12.08.2025;12.08.2025;Gutschrift;Zahlung Kunde RE-72032;Kunde Gmbh;36.285,35;-284.064,47;EUR
11.08.2025;11.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-8.890,92;-320.349,82;EUR
11.08.2025;11.08.2025;Gutschrift;Zahlung Kunde RE-65731;Kunde Gmbh;18.817,41;-311.458,90;EUR
08.08.2025;08.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.878,18;-330.276,31;EUR
08.08.2025;08.08.2025;Gutschrift;Zahlung Kunde RE-12858;Kunde Gmbh;40.460,51;-291.398,13;EUR
07.08.2025;07.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.499,71;-331.858,64;EUR
07.08.2025;07.08.2025;Gutschrift;Zahlung Kunde RE-50896;Kunde Gmbh;28.375,75;-315.358,93;EUR
06.08.2025;06.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-23.350,14;-343.734,68;EUR
06.08.2025;06.08.2025;Gutschrift;Zahlung Kunde RE-94645;Kunde Gmbh;26.536,82;-320.384,54;EUR
05.08.2025;05.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-15.333,90;-346.921,36;EUR
05.08.2025;05.08.2025;Gutschrift;Zahlung Kunde RE-42565;Kunde Gmbh;17.777,94;-331.587,46;EUR
04.08.2025;04.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.448,24;-349.365,40;EUR
04.08.2025;04.08.2025;Gutschrift;Zahlung Kunde RE-38306;Kunde Gmbh;33.888,81;-321.917,16;EUR
01.08.2025;01.08.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.363,00;-355.805,97;EUR
01.08.2025;01.08.2025;Gutschrift;Zahlung Kunde RE-79366;Kunde Gmbh;35.602,60;-323.442,97;EUR
31.07.2025;31.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-47.723,27;-359.045,57;EUR
31.07.2025;31.07.2025;Gutschrift;Zahlung Kunde RE-26498;Kunde Gmbh;44.030,56;-311.322,30;EUR
30.07.2025;30.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.636,98;-355.352,86;EUR
30.07.2025;30.07.2025;Gutschrift;Zahlung Kunde RE-85272;Kunde Gmbh;29.944,38;-330.715,88;EUR
29.07.2025;29.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.232,60;-360.660,26;EUR
29.07.2025;29.07.2025;Gutschrift;Zahlung Kunde RE-18134;Kunde Gmbh;25.146,09;-344.427,66;EUR
28.07.2025;28.07.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-12.985,58;-369.573,75;EUR
